Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 5020,1,0.09820899999999999,14.505025714285717,1.82283679483,19.016933213216983
Java(TM) Platform SE binary 5968,10,0.096007,14.920727692307691,1.7645264804799998,18.66565489365005
Java(TM) Platform SE binary 3612,100,0.096048,15.046357333333331,1.7970718855599999,18.6584980740594
Java(TM) Platform SE binary 7760,1000,0.097377,14.725100714285714,1.8619052404499998,19.189449077254764
Java(TM) Platform SE binary 10128,10000,0.11207300000000002,13.717436470588238,1.98730407568,18.13527940190768
Java(TM) Platform SE binary 416,100000,0.11939799999999999,15.555939411764708,2.31153287442,19.61000477386556
Java(TM) Platform SE binary 7568,1000000,0.16945200000000002,16.212939999999996,3.56050115843,21.162015914509627
Java(TM) Platform SE binary 1300,10000000,0.48635899999999976,16.171244492753623,9.977745312469999,20.51518592741165
Java(TM) Platform SE binary 10024,100000000,3.551793000000003,16.79222717153284,72.58169125509012,21.155676726540797
Java(TM) Platform SE binary 9148,1000000000,36.5551440000001,19.198922825402338,820.6021114876484,22.541776955519715
